,winner,method,weightclass,red_slpm,red_str_acc,red_sapm,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_slpm,blue_str_acc,blue_sapm,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,red_fighter_elo,blue_fighter_elo
129,1,5,8,5.22,0.43,3.8,0.65,3.68,0.76,0.73,2.2,5.36,0.38,5.19,0.43,0.0,0.0,0.6,0.0,1550.840915919904,1534.806627004853
130,0,6,0,3.57,0.37,4.0,0.53,0.59,0.4,0.58,0.5,3.83,0.41,3.87,0.47,4.0,0.53,0.66,1.0,1446.4471009026477,1514.7743763643173
131,0,5,4,3.22,0.43,3.61,0.46,0.59,0.38,0.46,0.0,1.79,0.51,3.02,0.42,4.95,0.7,0.0,1.4,1484.736306793522,1514.3318781372911
132,0,6,9,2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2,5.73,0.46,3.32,0.7,0.0,0.0,0.84,0.0,1495.72067565117,1559.902945978923
133,1,6,7,6.12,0.48,4.9,0.54,2.55,0.5,0.5,0.7,5.95,0.42,4.57,0.6,0.73,0.64,0.76,0.2,1651.932335187716,1580.934898476733
134,1,6,12,5.15,0.53,2.77,0.54,2.24,0.45,0.74,0.5,3.22,0.61,1.58,0.47,4.65,0.47,0.8,0.7,1587.0327392646368,1575.138870702247
135,0,1,4,4.05,0.54,5.11,0.47,0.0,0.0,0.53,0.0,14.61,0.59,7.5,0.59,0.0,0.0,0.0,0.0,1486.227121575436,1516.1075122423586
136,0,2,5,6.28,0.62,6.31,0.46,1.06,0.3,1.0,0.3,4.37,0.53,3.63,0.42,3.86,0.52,0.58,1.6,1498.227540587996,1506.2358483664298
137,1,6,8,3.45,0.43,2.63,0.61,1.46,0.41,0.67,0.6,4.38,0.41,5.32,0.55,0.31,0.09,0.25,0.3,1584.9571285330112,1474.165994114698
138,0,5,2,4.5,0.61,2.97,0.58,1.78,0.64,0.67,0.0,4.35,0.6,4.31,0.45,3.8,0.54,0.87,1.2,1510.2019509606075,1505.4101565056037
139,1,6,6,5.82,0.45,4.85,0.46,0.41,0.12,0.66,1.6,5.25,0.54,4.77,0.57,0.0,0.0,0.43,0.1,1529.3964848799685,1484.8862901058085
140,1,6,11,6.38,0.52,1.86,0.61,1.61,0.75,1.0,1.1,2.77,0.59,4.14,0.48,1.55,0.66,0.54,0.0,1513.6415540092992,1487.4138051107873
141,0,6,0,2.53,0.29,2.73,0.48,0.0,0.0,0.5,0.0,2.73,0.51,2.53,0.7,1.0,0.5,1.0,0.0,1484.0,1516.0
142,1,6,6,5.9,0.51,5.51,0.5,1.56,0.62,0.84,0.2,4.44,0.32,7.17,0.52,0.62,0.14,1.0,0.0,1487.01727268041,1482.6045891687895
143,1,6,8,4.77,0.43,4.0,0.58,0.83,0.5,0.5,0.8,6.61,0.51,6.49,0.5,0.69,0.4,1.0,0.3,1516.7998587161678,1500.583343169123
144,1,1,6,5.68,0.56,4.18,0.43,8.81,0.4,1.0,1.0,6.42,0.46,5.72,0.5,0.81,0.18,0.63,0.4,1515.8708865874855,1481.3253904238725
145,0,1,7,4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,4.45,0.55,3.26,0.58,0.85,0.32,0.78,1.1,1620.0325847465183,1619.262212931426
146,0,6,7,5.87,0.62,4.13,0.42,0.0,0.0,0.72,0.0,2.53,0.62,1.78,0.55,0.3,0.2,0.63,0.0,1543.0276026767035,1524.7795927329134
147,1,6,4,4.54,0.43,3.81,0.54,0.63,0.4,0.75,0.0,3.48,0.48,2.63,0.52,0.0,0.0,0.72,0.0,1575.831810048486,1548.3165590624556
