fighter_name,elo,fights,wins,win_ratio
Jason Knight,1518.3492419663805,9,4,0.4444444444444444
Marcos Vinicius,1461.6,3,1,0.3333333333333333
Jan Blachowicz,1665.4703252097058,20,12,0.6
Naoki Inoue,1502.8138537108202,2,1,0.5
Jarno Errens,1444.4162157110995,4,1,0.25
Luis Gurule,1465.992436039616,1,0,0.0
Isaac Dulgarian,1551.883923537472,3,2,0.6666666666666666
Kleydson Rodrigues,1453.46028643395,4,1,0.25
Xiao Long,1516.390318457218,2,1,0.5
Ryan Loder,1509.029280346377,2,1,0.5
Bernardo Magalhaes,1449.1672684438968,2,0,0.0
Tim Johnson,1533.905392615717,7,4,0.5714285714285714
Hector Sandoval,1495.8792855519262,4,2,0.5
Andre Petroski,1625.3161567752657,10,8,0.8
Bassil Hafez,1482.4080305611587,3,1,0.3333333333333333
Adam Yandiev,1470.3935375304548,1,0,0.0
Oluwale Bamgbose,1406.199355670822,5,1,0.2
Polo Reyes,1553.3838799820605,6,4,0.6666666666666666
Joseph Benavidez,1648.9053349120236,21,15,0.7142857142857143
Renzo Gracie,1466.2374825013394,1,0,0.0
Devonte Smith,1460.58073613014,5,2,0.4
Miranda Maverick,1599.4695070664968,12,8,0.6666666666666666
Dalcha Lungiambula,1413.4883719734305,7,2,0.2857142857142857
Quang Le,1477.2187187581198,3,1,0.3333333333333333
SeungWoo Choi,1444.0998013534409,8,3,0.375
Aliaskhab Khizriev,1538.4,1,1,1.0
Pearl Gonzalez,1443.1459124908063,2,0,0.0
Jasmine Jasudavicius,1628.9061735013406,9,7,0.7777777777777778
Carls John De Tomas,1435.9758229940142,2,0,0.0
Hector Aldana,1414.0499816345357,3,0,0.0
Augusto Mendes,1474.020901858454,3,1,0.3333333333333333
Aisling Daly,1530.6661144740247,3,2,0.6666666666666666
Ji Yeon Kim,1430.6369960476768,10,3,0.3
Bruna Brasil,1465.138483857093,5,2,0.4
Nick Roehrick,1465.7903815058132,1,0,0.0
Drako Rodriguez,1431.3445722367917,2,0,0.0
Scott Jorgensen,1406.4891788221505,12,4,0.3333333333333333
Joe Stevenson,1412.4185384686134,3,0,0.0
Felipe dos Santos,1451.100729862318,4,1,0.25
Justin Lawrence,1456.6843914807966,3,1,0.3333333333333333
Mauricio Rua,1484.6015168783115,19,9,0.47368421052631576
John Allan,1451.4763827407687,2,0,0.0
Ricardo Ramos,1512.4279213223008,14,8,0.5714285714285714
